Name,Season,Goals,Assists,GA,GR,Country,Club,Trophies
Luis Figo,2000,14,19,33,0.66,Portugal,Barcelona,0
Michael Owen,2001,24,7,31,0.67,England,Liverpool,3
Ronaldo Nazario,2002,15,2,17,1,Brazil,Real Madrid,1
Pavel Nedved,2003,14,10,24,0.51,Czech Republic,Juventus,1
Andriy Shevchenko,2004,29,7,36,0.86,Ukraine,AC Milan,3
Ronaldinho,2005,13,15,28,0.61,Brazil,Barcelona,1
Fabio Cannavaro,2006,0,1,1,0.02,Italy,Juventus,1
Kaka,2007,18,8,26,0.52,Brazil,AC Milan,1
Cristiano Ronaldo,2008,42,18,60,1.15,Portugal,Manchester United,2
Lionel Messi,2009,38,18,56,1.06,Argentina,Barcelona,6
Lionel Messi,2010,60,28,88,1.47,Argentina,Barcelona,2
Lionel Messi,2011,53,23,76,1.33,Argentina,Barcelona,5
Lionel Messi,2012,91,30,121,1.64,Argentina,Barcelona,2
Cristiano Ronaldo,2013,69,19,88,1.47,Portugal,Real Madrid,1          
Cristiano Ronaldo,2014,61,19,80,1.38,Portugal,Real Madrid,2
Lionel Messi,2015,52,30,82,1.22,Argentina,Barcelona,3
Cristiano Ronaldo,2016,55,14,69,1.23,Portugal,Real Madrid,2
Cristiano Ronaldo,2017,53,16,69,1.21,Portugal,Real Madrid,4
Luka Modric,2018,2,6,8,0.17,Croatia,Real Madrid,3
Lionel Messi,2019,50,30,80,1.36,Argentina,Barcelona,1
Lionel Messi,2021,38,23,61,1.24,Argentina,Barcelona,2
Karim Benzema,2022,44,15,59,1.28,France,Real Madrid,3
Lionel Messi,2023,54,21,75,1.17,Argentina,PSG,2
Rodri,2024,9,14,23,0.47,Spain,Manchester City,4
Ousmane Dembele,2025,33,15,48,0.98,France,PSG,4
